Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
7967560;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;1;;;78975;563802.82;1085650.43;2013-12-04T00:00:00
7967578;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;2;;;78975;563827.17;1085618.85;2013-12-04T00:00:00
7967586;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;3;;;78975;563846.25;1085606.85;2013-12-04T00:00:00
7967594;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;4;;;78975;563827.92;1085537.35;2013-12-04T00:00:00
7967608;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;6;;;78975;563905.87;1085618.20;2013-12-04T00:00:00
7967616;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;7;;;78975;563883.32;1085672.64;2013-12-04T00:00:00
7967624;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;8;;;78975;563868.63;1085703.39;2013-12-04T00:00:00
7967632;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;9;;;78975;563840.64;1085833.46;2013-12-04T00:00:00
7967641;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;10;;;78975;563880.11;1085869.37;2013-12-04T00:00:00
7967659;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;11;;;78975;563903.79;1085866.43;2013-12-04T00:00:00
7967667;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;12;;;78975;563918.82;1085884.75;2013-12-04T00:00:00
7967675;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;13;;;78975;564135.75;1086228.07;2013-12-04T00:00:00
7967683;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;14;;;78975;563759.34;1085630.24;2013-12-04T00:00:00
7967691;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;15;;;78975;564012.62;1086010.35;2013-12-04T00:00:00
7967705;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;16;;;78975;564047.04;1086306.23;2013-12-04T00:00:00
7967721;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;18;;;78975;564020.36;1086347.89;2013-12-04T00:00:00
7967730;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;19;;;78975;564087.81;1086089.24;2013-12-04T00:00:00
7967748;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;20;;;78975;564045.13;1086098.31;2013-12-04T00:00:00
7967756;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;21;;;78975;564047.99;1086146.91;2013-12-04T00:00:00
7967764;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;23;;;78975;564107.67;1086157.04;2013-12-04T00:00:00
7967772;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;24;;;78975;564084.44;1086206.69;2025-05-20T00:00:00
7967781;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;25;;;78975;564122.86;1086539.95;2013-12-04T00:00:00
7967799;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;26;;;78975;564264.36;1086577.12;2013-12-04T00:00:00
7967802;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;27;;;78975;564304.87;1086564.78;2013-12-04T00:00:00
7967811;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;28;;;78975;564346.44;1086533.97;2013-12-04T00:00:00
7967829;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;29;;;78975;563777.05;1085834.72;2013-12-04T00:00:00
7967837;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;30;;;78975;564517.57;1086417.74;2013-12-04T00:00:00
7967845;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;31;;;78975;564373.78;1086562.27;2013-12-04T00:00:00
7967853;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;32;;;78975;564407.37;1086558.38;2022-10-13T00:00:00
7967861;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;33;;;78975;564402.40;1086610.38;2013-12-04T00:00:00
