Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
14692481;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;1;;;37832;709116.39;1159271.28;2013-12-01T00:00:00
14692490;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;2;;;37832;711209.31;1162466.76;2013-12-01T00:00:00
14692503;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;3;;;37832;711189.17;1162458.29;2013-12-01T00:00:00
14692520;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;5;;;37832;711656.06;1161996.47;2013-12-01T00:00:00
14692538;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;6;;;37832;709599.37;1159313.61;2013-12-01T00:00:00
14692546;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;7;;;37832;711102.70;1162391.70;2013-12-01T00:00:00
14692554;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;8;;;37832;711084.53;1162382.43;2013-12-01T00:00:00
14692562;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;9;;;37832;711065.81;1162374.27;2013-12-01T00:00:00
14692571;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;10;;;37832;711052.28;1162368.15;2013-12-01T00:00:00
14692589;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;11;;;37832;711036.71;1162361.29;2013-12-01T00:00:00
14692597;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;12;;;37832;711009.89;1162337.78;2013-12-01T00:00:00
14692601;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;13;;;37832;711038.37;1162298.76;2013-12-01T00:00:00
14692619;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;14;;;37832;710955.60;1162331.67;2013-12-01T00:00:00
14692627;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;15;;;37832;709643.98;1161838.00;2013-12-01T00:00:00
14692635;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;16;;;37832;710941.32;1162334.13;2013-12-01T00:00:00
14692643;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;17;;;37832;710907.69;1162337.69;2013-12-01T00:00:00
14692651;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;18;;;37832;710822.85;1162327.60;2013-12-01T00:00:00
14692660;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;19;;;37832;710805.23;1162303.37;2013-12-01T00:00:00
14692678;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;20;;;37832;710839.86;1162349.84;2013-12-01T00:00:00
14692686;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;21;;;37832;710762.64;1162313.45;2013-12-01T00:00:00
14692694;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;22;;;37832;710724.52;1162298.77;2013-12-01T00:00:00
14692708;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;23;;;37832;711140.28;1162554.43;2013-12-01T00:00:00
14692716;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;24;;;37832;709758.21;1161754.57;2013-12-01T00:00:00
14692724;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;25;;;37832;710698.37;1162272.38;2013-12-01T00:00:00
14692732;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;26;;;37832;709505.48;1161338.25;2013-12-01T00:00:00
14692741;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;27;;;37832;710644.72;1162242.52;2013-12-01T00:00:00
14692759;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;28;;;37832;710618.84;1162211.50;2013-12-01T00:00:00
14692767;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;29;;;37832;709442.92;1161204.21;2013-12-01T00:00:00
14692775;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;30;;;37832;710658.61;1162280.55;2013-12-01T00:00:00
14692783;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;31;;;37832;710673.91;1162317.78;2013-12-01T00:00:00
14692791;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;32;;;37832;710690.80;1162315.68;2013-12-01T00:00:00
14692805;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;33;;;37832;710706.55;1162357.51;2013-12-01T00:00:00
14692813;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;34;;;37832;710730.26;1162335.67;2013-12-01T00:00:00
14692821;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;35;;;37832;710748.62;1162361.37;2013-12-01T00:00:00
14692830;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;36;;;37832;710775.63;1162347.39;2013-12-01T00:00:00
14692848;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;37;;;37832;710806.02;1162343.88;2013-12-01T00:00:00
14692856;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;38;;;37832;710821.41;1162348.26;2013-12-01T00:00:00
14692864;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;39;;;37832;710892.78;1162375.76;2013-12-01T00:00:00
14692872;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;40;;;37832;710914.99;1162370.55;2013-12-01T00:00:00
14692881;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;41;;;37832;710931.98;1162381.10;2013-12-01T00:00:00
14692899;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;42;;;37832;710943.03;1162406.20;2013-12-01T00:00:00
14692902;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;43;;;37832;710957.53;1162419.43;2013-12-01T00:00:00
14692911;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;44;;;37832;710994.16;1162393.21;2013-12-01T00:00:00
14692929;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;45;;;37832;711004.03;1162404.70;2013-12-01T00:00:00
14692937;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;46;;;37832;711032.77;1162420.96;2013-12-01T00:00:00
14692945;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;47;;;37832;711061.67;1162418.18;2013-12-01T00:00:00
14692953;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;48;;;37832;711087.00;1162430.51;2013-12-01T00:00:00
14692961;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;49;;;37832;711071.05;1162463.77;2013-12-01T00:00:00
14692988;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;51;;;37832;709689.54;1161666.00;2013-12-01T00:00:00
14692996;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;52;;;37832;709604.74;1161194.80;2013-12-01T00:00:00
14693003;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;53;;;37832;710992.46;1162486.02;2013-12-01T00:00:00
14693011;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;54;;;37832;711049.03;1162529.54;2013-12-01T00:00:00
14693020;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;55;;;37832;709823.43;1160975.71;2013-12-01T00:00:00
14693038;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;56;;;37832;711034.36;1162543.57;2013-12-01T00:00:00
14693054;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;58;;;37832;709685.31;1160395.05;2013-12-01T00:00:00
14693062;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;59;;;37832;711065.67;1162489.99;2013-12-01T00:00:00
14693071;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;60;;;37832;710980.82;1162546.41;2013-12-01T00:00:00
14693089;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;61;;;37832;710939.44;1162544.69;2013-12-01T00:00:00
14693097;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;62;;;37832;710832.13;1162533.00;2013-12-01T00:00:00
14693101;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;63;;;37832;710857.16;1162552.08;2013-12-01T00:00:00
14693119;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;64;;;37832;710909.60;1162558.97;2013-12-01T00:00:00
14693127;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;65;;;37832;710953.04;1162573.55;2013-12-01T00:00:00
14693135;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;66;;;37832;710979.13;1162562.55;2013-12-01T00:00:00
14693143;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;67;;;37832;710995.67;1162559.97;2013-12-01T00:00:00
14693151;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;68;;;37832;709387.42;1159178.86;2013-12-01T00:00:00
14693160;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;69;;;37832;711036.34;1162567.63;2013-12-01T00:00:00
14693178;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;70;;;37832;711062.09;1162619.28;2013-12-01T00:00:00
14693186;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;71;;;37832;711092.41;1162644.49;2013-12-01T00:00:00
14693194;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;72;;;37832;709116.23;1159316.38;2013-12-01T00:00:00
14693208;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;73;;;37832;711135.53;1162637.29;2013-12-01T00:00:00
14693216;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;74;;;37832;711159.18;1162656.62;2013-12-01T00:00:00
14693224;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;75;;;37832;711159.91;1162692.53;2013-12-01T00:00:00
14693232;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;76;;;37832;709202.52;1160539.58;2013-12-01T00:00:00
14693241;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;77;;;37832;711207.24;1162709.70;2013-12-01T00:00:00
14693259;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;78;;;37832;711187.71;1162685.41;2013-12-01T00:00:00
14693267;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;79;;;37832;711106.80;1162569.37;2013-12-01T00:00:00
14693275;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;80;;;37832;711082.60;1162552.61;2013-12-01T00:00:00
14693283;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;81;;;37832;709261.52;1159126.77;2013-12-01T00:00:00
14693291;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;82;;;37832;709111.43;1160265.67;2013-12-01T00:00:00
14693305;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;83;;;37832;710687.57;1162250.48;2013-12-01T00:00:00
14693313;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;84;;;37832;710700.41;1162232.87;2013-12-01T00:00:00
14693321;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;85;;;37832;711128.74;1162452.34;2013-12-01T00:00:00
14693330;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;86;;;37832;711161.12;1162468.35;2013-12-01T00:00:00
