KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
15519031;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;1;;;29301;699710.56;1009934.13;2013-12-05T00:00:00
15519040;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;2;;;29301;699676.31;1009896.00;2013-12-05T00:00:00
15519058;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;3;;;29301;699665.47;1009844.72;2022-12-28T00:00:00
15519074;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;5;;;29301;699239.56;1008559.38;2013-12-05T00:00:00
15519082;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;6;;;29301;699206.95;1008518.58;2013-12-05T00:00:00
15519091;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;7;;;29301;699195.04;1008511.92;2013-12-05T00:00:00
15519104;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;8;;;29301;699188.94;1008495.06;2013-12-05T00:00:00
15519112;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;9;;;29301;699155.25;1008544.50;2013-12-05T00:00:00
15519139;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;11;;;29301;699080.19;1008525.19;2013-12-05T00:00:00
15519147;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;12;;;29301;699108.56;1008494.88;2013-12-05T00:00:00
15519155;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;13;;;29301;699133.25;1008465.56;2013-12-05T00:00:00
15519163;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;14;;;29301;699139.54;1008430.75;2017-06-29T00:00:00
15519171;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;15;;;29301;698974.50;1008355.63;2013-12-05T00:00:00
15519180;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;16;;;29301;699133.06;1008337.31;2013-12-05T00:00:00
15519201;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;18;;;29301;699155.13;1008292.31;2013-12-05T00:00:00
15519210;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;19;;;29301;699215.19;1008229.69;2013-12-05T00:00:00
15519228;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;20;;;29301;699253.38;1008170.44;2013-12-05T00:00:00
15519236;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;21;;;29301;699277.94;1008156.81;2013-12-05T00:00:00
15519244;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;22;;;29301;699466.56;1007980.75;2013-12-05T00:00:00
15519261;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;24;;;29301;699273.04;1008226.93;2013-12-05T00:00:00
15519279;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;25;;;29301;699194.63;1008305.06;2013-12-05T00:00:00
15519287;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;26;;;29301;699174.25;1008320.75;2013-12-05T00:00:00
15519295;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;27;;;29301;699174.69;1008338.63;2013-12-05T00:00:00
15519317;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;29;;;29301;699211.13;1008386.25;2013-12-05T00:00:00
15519325;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;30;;;29301;699167.00;1008359.38;2023-04-25T00:00:00
15519333;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;31;;;29301;698973.38;1008408.38;2013-12-05T00:00:00
15519341;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;32;;;29301;699002.88;1008436.81;2013-12-05T00:00:00
15519350;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;33;;;29301;699185.94;1008441.38;2013-12-05T00:00:00
15519368;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;34;;;29301;699235.88;1008617.06;2013-12-05T00:00:00
15519376;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;35;;;29301;700430.62;1008472.81;2014-05-13T00:00:00
15519384;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;36;;;29301;699181.06;1008396.38;2013-12-05T00:00:00
15519392;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;37;;;29301;699189.75;1008433.69;2013-12-05T00:00:00
15519414;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;39;;;29301;699199.06;1008457.06;2013-12-05T00:00:00
15519422;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;40;;;29301;699702.50;1009809.31;2013-12-05T00:00:00
15519431;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;41;;;29301;699192.44;1008416.69;2013-12-05T00:00:00
15519449;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;42;;;29301;699628.00;1009820.00;2013-12-05T00:00:00
15519465;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;44;;;29301;699139.00;1008357.31;2013-12-05T00:00:00
15519473;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;45;;;29301;699785.75;1009951.00;2013-12-05T00:00:00
15519481;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;46;;;29301;699234.88;1008574.44;2013-12-05T00:00:00
15519490;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;47;;;29301;699327.94;1008575.81;2013-12-05T00:00:00
15519503;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;48;;;29301;699248.75;1008507.38;2013-12-05T00:00:00
15519511;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;49;;;29301;698985.00;1008530.00;2013-12-05T00:00:00
15519520;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;50;;;29301;699121.19;1008371.31;2013-12-05T00:00:00
15519538;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;51;;;29301;699166.00;1008467.00;2013-12-05T00:00:00
15519554;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;53;;;29301;699002.50;1008389.69;2013-12-05T00:00:00
15519562;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;54;;;29301;699042.63;1008266.00;2013-12-05T00:00:00
15519571;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;55;;;29301;698998.88;1008205.88;2013-12-05T00:00:00
15519589;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;56;;;29301;699026.94;1008316.81;2013-12-05T00:00:00
15519597;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;57;;;29301;699777.00;1009930.00;2013-12-05T00:00:00
15519601;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;58;;;29301;699098.25;1008334.38;2013-12-05T00:00:00
