Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7215941;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;1;;;54906;621659.92;1033030.05;2013-11-29T00:00:00
7215959;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;2;;;54906;621608.94;1032969.17;2013-11-29T00:00:00
7215967;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;3;;;54906;621569.47;1032997.01;2013-11-29T00:00:00
7215975;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;4;;;54906;621635.11;1033099.38;2013-11-29T00:00:00
7215983;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;5;;;54906;621559.05;1032531.58;2013-11-29T00:00:00
7215991;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;6;;;54906;621538.27;1032921.46;2013-11-29T00:00:00
7216009;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;7;;;54906;621530.29;1032878.05;2013-11-29T00:00:00
7216017;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;8;;;54906;621580.54;1032851.75;2013-11-29T00:00:00
7216025;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;9;;;54906;621624.42;1032936.74;2013-11-29T00:00:00
7216033;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;10;;;54906;621619.60;1032867.84;2013-11-29T00:00:00
7216041;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;11;;;54906;621623.93;1032841.48;2013-11-29T00:00:00
7216050;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;12;;;54906;621632.14;1032812.45;2013-11-29T00:00:00
7216068;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;13;;;54906;621643.89;1032765.82;2013-11-29T00:00:00
7216076;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;14;;;54906;621706.93;1032357.97;2013-11-29T00:00:00
7216084;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;15;;;54906;621658.02;1032705.99;2013-11-29T00:00:00
7216092;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;16;;;54906;621688.48;1032644.20;2013-11-29T00:00:00
7216106;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;17;;;54906;621661.09;1032684.35;2013-11-29T00:00:00
7216114;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;18;;;54906;621657.03;1032568.78;2013-11-29T00:00:00
7216122;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;19;;;54906;621638.48;1032528.63;2013-11-29T00:00:00
7216131;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;20;;;54906;621637.31;1032478.68;2013-11-29T00:00:00
7216149;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;21;;;54906;621707.62;1032531.05;2013-11-29T00:00:00
7216165;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;23;;;54906;621710.77;1032466.85;2013-11-29T00:00:00
7216173;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;24;;;54906;621720.36;1032397.52;2013-11-29T00:00:00
7216181;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;25;;;54906;621622.68;1032688.09;2013-11-29T00:00:00
7216190;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;26;;;54906;621723.63;1032334.40;2013-11-29T00:00:00
7216203;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;27;;;54906;621703.52;1032282.49;2013-11-29T00:00:00
7216211;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;28;;;54906;621690.06;1032214.74;2013-11-29T00:00:00
7216220;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;29;;;54906;621650.93;1032156.53;2013-11-29T00:00:00
7216238;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;30;;;54906;621627.43;1032137.29;2013-11-29T00:00:00
7216246;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;31;;;54906;621645.04;1032106.70;2013-11-29T00:00:00
7216254;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;32;;;54906;621602.03;1032107.86;2013-11-29T00:00:00
7216262;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;33;;;54906;621560.20;1032111.12;2013-11-29T00:00:00
7216271;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;34;;;54906;621544.04;1032103.15;2013-11-29T00:00:00
7216289;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;35;;;54906;621507.75;1032101.99;2013-11-29T00:00:00
