Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1944886;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;2;;;67962;602438.88;1116543.21;2013-12-03T00:00:00
1944894;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;3;;;67962;602539.10;1116411.82;2013-12-03T00:00:00
1944908;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;4;;;67962;602559.75;1116524.35;2013-12-03T00:00:00
1944924;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;6;;;67962;602966.85;1116366.63;2013-12-03T00:00:00
1944932;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;7;;;67962;602822.64;1116365.95;2013-12-03T00:00:00
1944941;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;8;;;67962;602899.75;1116314.31;2013-12-03T00:00:00
1944967;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;10;;;67962;602934.76;1116205.34;2013-12-03T00:00:00
1944975;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;11;;;67962;602694.36;1116445.46;2013-12-03T00:00:00
1944983;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;12;;;67962;602962.68;1116127.81;2013-12-03T00:00:00
1945009;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;14;;;67962;603013.83;1116108.58;2013-12-03T00:00:00
1945017;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;15;;;67962;602975.38;1116067.08;2013-12-03T00:00:00
1945025;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;16;;;67962;603004.96;1116049.90;2013-12-03T00:00:00
1945033;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;17;;;67962;603183.75;1116163.56;2013-12-03T00:00:00
1945041;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;18;;;67962;603052.01;1116014.79;2013-12-03T00:00:00
1945050;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;19;;;67962;603329.32;1115979.43;2013-12-03T00:00:00
1945068;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;20;;;67962;603373.81;1116008.55;2013-12-03T00:00:00
1945076;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;21;;;67962;603145.17;1116119.18;2013-12-03T00:00:00
1945084;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;22;;;67962;603218.40;1116127.26;2013-12-03T00:00:00
1945092;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;23;;;67962;603194.14;1116168.02;2013-12-03T00:00:00
1945106;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;24;;;67962;603299.77;1116283.53;2013-12-03T00:00:00
1945114;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;25;;;67962;603127.48;1116328.01;2013-12-03T00:00:00
1945122;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;26;;;67962;603086.41;1116275.00;2013-12-03T00:00:00
1945131;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;27;;;67962;603097.82;1116326.56;2013-12-03T00:00:00
1945149;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;28;;;67962;603035.40;1116333.08;2017-04-07T00:00:00
1945157;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;29;;;67962;602827.59;1116506.49;2013-12-03T00:00:00
1945165;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;30;;;67962;602743.20;1116514.15;2013-12-03T00:00:00
1945173;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;31;;;67962;602686.09;1116548.48;2013-12-03T00:00:00
1945181;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;32;;;67962;602583.40;1116592.21;2013-12-03T00:00:00
