Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
3963152;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;1;;;76307;522238.75;1178220.38;2013-12-05T00:00:00
3963195;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;5;;;76307;522184.67;1178124.72;2013-12-05T00:00:00
3963209;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;6;;;76307;522177.03;1178086.87;2013-12-05T00:00:00
3963217;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;7;;;76307;522184.47;1178044.58;2013-12-05T00:00:00
3963225;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;8;;;76307;522200.34;1178015.30;2013-12-05T00:00:00
3963233;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;9;;;76307;522231.89;1177987.85;2013-12-05T00:00:00
3963241;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;10;;;76307;522210.04;1178263.31;2013-12-05T00:00:00
3963250;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;11;;;76307;522260.10;1177963.73;2013-12-05T00:00:00
3963268;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;12;;;76307;522265.97;1177951.73;2022-11-15T00:00:00
3963276;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;13;;;76307;522293.02;1177950.98;2013-12-05T00:00:00
3963284;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;14;;;76307;522293.80;1177930.20;2013-12-05T00:00:00
3963292;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;15;;;76307;522312.02;1177908.24;2013-12-05T00:00:00
3963306;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;16;;;76307;522021.44;1178036.74;2013-12-05T00:00:00
3963314;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;17;;;76307;522403.13;1177913.34;2013-12-05T00:00:00
3963322;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;18;;;76307;522365.16;1177845.42;2022-11-15T00:00:00
3963331;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;19;;;76307;522386.80;1177823.41;2022-11-15T00:00:00
3963349;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;20;;;76307;522395.28;1177804.90;2013-12-05T00:00:00
3963357;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;21;;;76307;522472.30;1177776.24;2013-12-05T00:00:00
3963365;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;22;;;76307;522419.59;1177755.27;2013-12-05T00:00:00
3963373;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;23;;;76307;522240.53;1178311.62;2013-12-05T00:00:00
3963390;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;25;;;76307;522457.07;1177680.65;2013-12-05T00:00:00
3963403;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;26;;;76307;522453.31;1177689.87;2013-12-05T00:00:00
3963411;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;27;;;76307;522167.89;1177897.89;2013-12-05T00:00:00
3963420;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;28;;;76307;522432.35;1177716.97;2013-12-05T00:00:00
3963438;585912;Velký Oøechov;;;;;179671;Velký Oøechov;;;è.p.;29;;;76307;522414.86;1177738.41;2013-12-05T00:00:00
